algorithm,input_size,execution_time_us,memory_bytes
binary_exponentiation,10,0,0
vector_reallocation,10,0,124
linked_list_traversal,10,0,160
binary_exponentiation,15,0,0
vector_reallocation,15,0,124
linked_list_traversal,15,0,240
binary_exponentiation,22,0,0
vector_reallocation,22,0,252
linked_list_traversal,22,0,352
binary_exponentiation,33,0,0
vector_reallocation,33,0,508
linked_list_traversal,33,0,528
binary_exponentiation,50,1,0
vector_reallocation,50,0,508
linked_list_traversal,50,1,800
binary_exponentiation,75,1,0
vector_reallocation,75,0,1020
linked_list_traversal,75,1,1200
binary_exponentiation,113,2,0
vector_reallocation,113,0,1020
linked_list_traversal,113,1,1808
binary_exponentiation,170,4,0
vector_reallocation,170,0,2044
linked_list_traversal,170,3,2720
binary_exponentiation,256,7,0
vector_reallocation,256,0,2044
linked_list_traversal,256,5,4096
binary_exponentiation,384,12,0
vector_reallocation,384,0,4092
linked_list_traversal,384,8,6144
binary_exponentiation,576,19,0
vector_reallocation,576,0,8188
linked_list_traversal,576,12,9216
binary_exponentiation,864,32,0
vector_reallocation,864,0,8188
linked_list_traversal,864,18,13824
binary_exponentiation,1297,52,0
vector_reallocation,1297,0,16380
linked_list_traversal,1297,27,20752
binary_exponentiation,1946,84,0
vector_reallocation,1946,0,16380
linked_list_traversal,1946,42,31136
binary_exponentiation,2919,136,0
vector_reallocation,2919,1,32764
linked_list_traversal,2919,70,46704
binary_exponentiation,4378,221,0
vector_reallocation,4378,2,65532
linked_list_traversal,4378,102,70048
binary_exponentiation,6568,359,0
vector_reallocation,6568,2,65532
linked_list_traversal,6568,168,105088
binary_exponentiation,9852,579,0
vector_reallocation,9852,5,131068
linked_list_traversal,9852,296,157632
binary_exponentiation,14778,889,0
vector_reallocation,14778,5,131068
linked_list_traversal,14778,540,236448
binary_exponentiation,22168,1480,0
vector_reallocation,22168,66,262140
linked_list_traversal,22168,658,354688
binary_exponentiation,33252,2241,0
vector_reallocation,33252,144,524284
linked_list_traversal,33252,1080,532032
binary_exponentiation,49878,3541,0
vector_reallocation,49878,119,524284
linked_list_traversal,49878,1816,798048
binary_exponentiation,74818,5639,0
vector_reallocation,74818,243,1048572
linked_list_traversal,74818,2525,1197088
binary_exponentiation,112227,8598,0
vector_reallocation,112227,283,1048572
linked_list_traversal,112227,3994,1795632
binary_exponentiation,168341,13372,0
vector_reallocation,168341,518,2097148
linked_list_traversal,168341,8417,2693456
binary_exponentiation,252511,21080,0
vector_reallocation,252511,645,2097148
linked_list_traversal,252511,9476,4040176
binary_exponentiation,378767,38481,0
vector_reallocation,378767,1317,4194300
linked_list_traversal,378767,15827,6060272
binary_exponentiation,568151,49828,0
vector_reallocation,568151,1612,8388604
linked_list_traversal,568151,19437,9090416
binary_exponentiation,852226,77002,0
vector_reallocation,852226,2505,8388604
linked_list_traversal,852226,31617,13635616
binary_exponentiation,1000000,92685,0
vector_reallocation,1000000,1921,8388604
linked_list_traversal,1000000,34174,16000000
